STATION,NAME,DATE,AWND,PGTM,PRCP,HOLIDAY,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-14,1.34,,0,0,,,,73,56,270,270,12.1,15,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-15,1.34,,0,0,,,,80,53,280,280,8.9,15,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-16,0.67,,0,0,,,,68,51,280,270,8.1,14.1,1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-17,7.16,,2.01,0,,,,61,53,130,140,17,30,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-18,2.46,,0.09,0,,,,63,53,270,280,8.9,15,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-19,2.01,,0.03,0,,,,63,54,270,270,8.1,12.1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-20,2.01,,0.03,1,,,,64,54,130,130,8.1,13,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-21,0.67,,0.03,0,,,,68,58,280,280,8.1,12.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-22,2.01,,0,0,,,,66,51,270,260,13,17,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-23,5.14,,0,0,,,,62,49,270,280,17,27.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-24,1.79,,0,0,,,,64,44,280,280,10.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-25,1.12,,0,0,,,,66,44,270,260,10.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-26,2.01,,0.06,0,,,,58,49,130,100,8.1,13,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-27,2.01,,0,0,,,,61,52,280,90,6.9,11,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-28,1.79,,0,0,,,,66,47,270,280,8.9,15,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-01,1.12,,0,0,,,,75,47,270,280,8.1,12.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-02,1.12,,0,0,,,,79,48,270,270,10.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-03,2.68,,0,0,,,,82,55,280,270,8.9,12.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-04,1.79,,0,0,,,,71,53,160,130,8.1,12.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-05,2.91,,0,0,,,,63,49,270,280,14.1,23.9,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-06,2.01,,0,0,,,,67,46,270,350,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-07,1.57,,0,0,,,,77,49,280,150,8.9,12.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-08,1.12,,0,0,,,,85,54,270,260,8.9,13,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-09,0.89,,0,0,,,,87,57,280,290,6.9,11,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-10,1.12,,0,0,,,,81,56,270,270,8.9,13,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-11,0.89,,0,0,,,,83,55,270,280,8.9,14.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-12,1.12,,0,0,,,,84,53,270,280,8.1,11,1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-13,0.89,,0,0,,,,88,55,270,260,6.9,8.9,1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-14,1.12,,0,0,,,,86,52,270,280,8.1,12.1,1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-15,1.12,,0,0,,,,85,57,270,270,10.1,15,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-16,1.57,,0,0,,,,79,58,270,270,10.1,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-17,0.67,,0,0,,,,78,53,270,270,6.9,11,1,1,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-18,1.12,,0,0,,,,75,57,270,280,8.1,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-19,2.01,,0,0,,,,77,56,280,270,8.1,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-20,1.57,,0,0,,,,71,59,270,280,12.1,17,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-21,2.68,,0.06,0,,,,67,57,130,80,8.1,12.1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-22,2.68,,0.03,0,,,,69,55,270,270,15,29.1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-23,2.91,,0,0,,,,70,54,340,350,10.1,19.9,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-24,2.01,,0,0,,,,72,53,270,270,12.1,19,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-25,2.46,,0,0,,,,70,54,280,280,12.1,18.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-26,1.57,,0,0,,,,71,57,270,270,13,18.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-27,4.25,,0,0,,,,74,55,320,340,15,25.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-28,2.68,,0,0,,,,79,57,330,360,10.1,18.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-29,0.89,,0,0,,,,83,56,280,270,12.1,17,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-30,3.8,,0,0,,,,75,58,350,330,14.1,25.9,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-03-31,3.8,,0,0,,,,76,58,300,310,14.1,25.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-01,1.57,,0,0,,,,74,53,280,280,10.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-02,1.12,,0,0,,,,79,56,270,260,8.1,11,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-03,1.12,,0,0,,,,69,56,270,270,10.1,15,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-04,1.57,,0,0,,,,75,58,280,280,10.1,16.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-05,1.79,,0,0,,,,86,57,270,270,8.9,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-06,1.79,,0,0,,,,79,57,270,270,8.9,14.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-07,2.01,,0,0,,,,72,57,270,280,8.9,15,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-08,3.36,,0.08,0,,,,69,56,270,270,14.1,23,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-09,1.57,,0,0,,,,72,52,270,280,13,19,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-10,1.79,,0,0,,,,79,54,270,280,10.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-11,2.01,,0,0,,,,77,54,270,280,10.1,19.9,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-12,2.91,,0,0,,,,75,56,280,270,13,19.9,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-13,2.91,,0,0,,,,71,56,270,280,13,23.9,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-14,2.46,,0,0,,,,70,54,280,280,12.1,18.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-15,1.79,,0,0,,,,76,53,280,270,12.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-16,2.24,,0,0,,,,77,55,270,270,12.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-17,2.91,,0,0,,,,75,56,280,270,12.1,19.9,,,,
